year,gender,premarital.sex,education,religion
1972,male,not wrong at all,high school,none
1972,female,always wrong,high school,Protestant
1972,male,sometimes wrong,high school,other
1972,male,sometimes wrong,post-secondary,Protestant
1972,female,not wrong at all,post-secondary,Catholic
1972,female,sometimes wrong,post-secondary,other
1972,male,not wrong at all,post-secondary,none
1972,female,sometimes wrong,high school,Catholic
1972,male,not wrong at all,post-secondary,none
1972,female,sometimes wrong,high school,Protestant
1972,female,always wrong,high school,other
1972,male,sometimes wrong,high school,Protestant
1972,female,almost always wrong,post-secondary,Protestant
1972,male,sometimes wrong,high school,Protestant
1972,male,almost always wrong,high school,Protestant
1972,female,almost always wrong,high school,Protestant
1972,male,sometimes wrong,high school,Protestant
1972,female,sometimes wrong,high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,sometimes wrong,high school,Protestant
1972,female,always wrong,high school,Protestant
1972,male,always wrong,high school,Protestant
1972,male,not wrong at all,high school,Protestant
1972,female,always wrong,less than high school,none
1972,female,not wrong at all,high school,Protestant
1972,female,not wrong at all,high school,other
1972,female,sometimes wrong,post-secondary,other
1972,male,not wrong at all,high school,Protestant
1972,male,not wrong at all,less than high school,Protestant
1972,male,not wrong at all,high school,Protestant
1972,female,sometimes wrong,less than high school,Protestant
1972,male,not wrong at all,less than high school,Catholic
1972,male,not wrong at all,high school,Catholic
1972,female,not wrong at all,high school,Jewish
1972,male,not wrong at all,less than high school,Protestant
1972,female,almost always wrong,less than high school,Protestant
1972,female,sometimes wrong,less than high school,Protestant
1972,female,not wrong at all,high school,Protestant
1972,female,not wrong at all,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,not wrong at all,less than high school,Protestant
1972,male,not wrong at all,less than high school,Protestant
1972,female,always wrong,less than high school,Catholic
1972,female,sometimes wrong,less than high school,none
1972,female,not wrong at all,post-secondary,none
1972,female,sometimes wrong,high school,Catholic
1972,female,almost always wrong,less than high school,Catholic
1972,male,sometimes wrong,high school,Protestant
1972,male,sometimes wrong,less than high school,Catholic
1972,male,sometimes wrong,high school,Catholic
1972,male,always wrong,high school,Catholic
1972,female,always wrong,less than high school,Protestant
1972,female,not wrong at all,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,female,not wrong at all,high school,Protestant
1972,male,almost always wrong,less than high school,Protestant
1972,female,always wrong,less than high school,Catholic
1972,male,always wrong,high school,Protestant
1972,male,always wrong,high school,Protestant
1972,female,always wrong,high school,Protestant
1972,male,almost always wrong,high school,Jewish
1972,female,always wrong,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,almost always wrong,post-secondary,Protestant
1972,male,always wrong,high school,Protestant
1972,male,not wrong at all,less than high school,Protestant
1972,male,not wrong at all,less than high school,Protestant
1972,female,almost always wrong,high school,Protestant
1972,male,not wrong at all,high school,none
1972,male,sometimes wrong,high school,Catholic
1972,female,sometimes wrong,less than high school,Catholic
1972,female,always wrong,less than high school,Catholic
1972,female,always wrong,high school,Protestant
1972,female,always wrong,high school,Protestant
1972,female,sometimes wrong,less than high school,Protestant
1972,female,always wrong,high school,Protestant
1972,male,always wrong,high school,Catholic
1972,female,not wrong at all,less than high school,Protestant
1972,male,not wrong at all,high school,Protestant
1972,male,sometimes wrong,less than high school,Protestant
1972,male,almost always wrong,less than high school,Protestant
1972,male,not wrong at all,less than high school,Protestant
1972,male,always wrong,post-secondary,none
1972,female,not wrong at all,post-secondary,none
1972,male,not wrong at all,post-secondary,Protestant
1972,female,not wrong at all,high school,none
1972,female,always wrong,high school,Protestant
1972,female,always wrong,high school,Catholic
1972,male,not wrong at all,less than high school,Protestant
1972,male,not wrong at all,high school,none
1972,male,not wrong at all,less than high school,none
1972,female,always wrong,less than high school,Catholic
1972,male,not wrong at all,post-secondary,Protestant
1972,male,sometimes wrong,post-secondary,Protestant
1972,female,always wrong,high school,Protestant
1972,male,not wrong at all,less than high school,none
1972,female,sometimes wrong,post-secondary,none
1972,female,not wrong at all,high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,always wrong,high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,not wrong at all,high school,Catholic
1972,female,sometimes wrong,post-secondary,Protestant
1972,male,always wrong,post-secondary,Catholic
1972,male,not wrong at all,high school,Protestant
1972,male,sometimes wrong,post-secondary,Protestant
1972,female,not wrong at all,post-secondary,Catholic
1972,female,always wrong,high school,Catholic
1972,female,sometimes wrong,less than high school,other
1972,female,sometimes wrong,high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,always wrong,high school,Protestant
1972,male,sometimes wrong,high school,Catholic
1972,male,sometimes wrong,high school,Protestant
1972,female,almost always wrong,high school,Protestant
1972,female,sometimes wrong,post-secondary,Protestant
1972,male,always wrong,high school,Protestant
1972,female,almost always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,female,sometimes wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Catholic
1972,male,always wrong,high school,Protestant
1972,female,sometimes wrong,less than high school,Protestant
1972,male,almost always wrong,less than high school,Protestant
1972,female,not wrong at all,less than high school,Protestant
1972,female,not wrong at all,less than high school,Protestant
1972,female,not wrong at all,high school,Protestant
1972,male,sometimes wrong,high school,Protestant
1972,female,not wrong at all,less than high school,Protestant
1972,male,sometimes wrong,less than high school,Protestant
1972,male,almost always wrong,less than high school,Protestant
1972,male,almost always wrong,less than high school,Protestant
1972,female,sometimes wrong,high school,Catholic
1972,female,almost always wrong,post-secondary,Catholic
1972,female,sometimes wrong,high school,Protestant
1972,male,always wrong,high school,Protestant
1972,male,not wrong at all,high school,Protestant
1972,male,sometimes wrong,less than high school,none
1972,male,not wrong at all,high school,Protestant
1972,male,always wrong,less than high school,Catholic
1972,female,not wrong at all,post-secondary,Catholic
1972,male,always wrong,high school,Protestant
1972,male,sometimes wrong,high school,Protestant
1972,female,almost always wrong,high school,Protestant
1972,female,always wrong,high school,Protestant
1972,male,always wrong,high school,Protestant
1972,female,always wrong,less than high school,none
1972,female,always wrong,high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,female,not wrong at all,less than high school,Protestant
1972,male,almost always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,always wrong,post-secondary,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,sometimes wrong,less than high school,Protestant
1972,female,always wrong,high school,Protestant
1972,female,always wrong,high school,Protestant
1972,male,always wrong,high school,Protestant
1972,female,always wrong,less than high school,Catholic
1972,female,always wrong,high school,Catholic
1972,male,sometimes wrong,high school,Catholic
1972,female,always wrong,less than high school,Catholic
1972,male,not wrong at all,high school,Catholic
1972,male,almost always wrong,high school,Catholic
1972,male,sometimes wrong,post-secondary,Catholic
1972,female,always wrong,high school,Catholic
1972,female,always wrong,less than high school,Protestant
1972,female,always wrong,less than high school,none
1972,male,not wrong at all,high school,none
1972,male,always wrong,less than high school,none
1972,female,always wrong,less than high school,Protestant
1972,male,always wrong,high school,Protestant
1972,female,sometimes wrong,high school,Protestant
1972,male,always wrong,high school,Protestant
1972,female,always wrong,high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,male,sometimes wrong,less than high school,Protestant
1972,female,not wrong at all,high school,Protestant
1972,female,almost always wrong,high school,Protestant
1972,male,sometimes wrong,post-secondary,Protestant
1972,male,almost always wrong,high school,Protestant
1972,male,not wrong at all,high school,none
1972,female,sometimes wrong,high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,always wrong,high school,Protestant
1972,male,not wrong at all,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,always wrong,high school,Protestant
1972,female,always wrong,high school,Catholic
1972,female,always wrong,less than high school,Catholic
1972,male,always wrong,less than high school,Catholic
1972,female,almost always wrong,high school,Catholic
1972,female,always wrong,less than high school,Catholic
1972,male,always wrong,post-secondary,Catholic
1972,female,always wrong,less than high school,Catholic
1972,male,not wrong at all,high school,none
1972,male,almost always wrong,less than high school,Catholic
1972,male,sometimes wrong,high school,Catholic
1972,male,sometimes wrong,high school,Catholic
1972,female,almost always wrong,high school,Catholic
1972,male,always wrong,less than high school,Catholic
1972,female,always wrong,less than high school,Catholic
1972,female,always wrong,high school,Catholic
1972,female,always wrong,less than high school,Catholic
1972,female,almost always wrong,high school,Protestant
1972,female,not wrong at all,less than high school,Protestant
1972,male,not wrong at all,high school,Protestant
1972,male,not wrong at all,high school,Protestant
1972,female,not wrong at all,less than high school,Protestant
1972,male,not wrong at all,high school,Protestant
1972,female,not wrong at all,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,male,not wrong at all,high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,not wrong at all,high school,Protestant
1972,female,always wrong,high school,Protestant
1972,male,not wrong at all,high school,Protestant
1972,male,not wrong at all,less than high school,Protestant
1972,male,not wrong at all,less than high school,Protestant
1972,female,not wrong at all,less than high school,Protestant
1972,male,sometimes wrong,less than high school,Catholic
1972,male,not wrong at all,post-secondary,none
1972,female,always wrong,less than high school,Catholic
1972,male,not wrong at all,high school,Catholic
1972,female,always wrong,less than high school,Catholic
1972,female,sometimes wrong,post-secondary,Catholic
1972,male,not wrong at all,high school,Protestant
1972,female,not wrong at all,less than high school,Catholic
1972,male,sometimes wrong,high school,Catholic
1972,female,always wrong,high school,other
1972,male,sometimes wrong,post-secondary,Catholic
1972,female,sometimes wrong,post-secondary,Protestant
1972,male,sometimes wrong,high school,Protestant
1972,female,sometimes wrong,high school,Catholic
1972,male,sometimes wrong,high school,Catholic
1972,female,not wrong at all,high school,Catholic
1972,male,sometimes wrong,less than high school,Protestant
1972,male,sometimes wrong,post-secondary,Catholic
1972,female,always wrong,post-secondary,Protestant
1972,male,almost always wrong,less than high school,Protestant
1972,female,sometimes wrong,less than high school,Catholic
1972,female,always wrong,less than high school,Protestant
1972,female,not wrong at all,less than high school,Protestant
1972,male,not wrong at all,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,male,almost always wrong,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,male,not wrong at all,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,female,sometimes wrong,high school,Protestant
1972,female,always wrong,post-secondary,Protestant
1972,male,always wrong,high school,Catholic
1972,male,always wrong,high school,Protestant
1972,female,almost always wrong,high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,not wrong at all,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,not wrong at all,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,female,always wrong,high school,Protestant
1972,female,always wrong,high school,Protestant
1972,female,almost always wrong,high school,Protestant
1972,male,sometimes wrong,less than high school,Protestant
1972,male,almost always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Catholic
1972,female,almost always wrong,less than high school,Catholic
1972,male,not wrong at all,high school,Catholic
1972,female,almost always wrong,high school,Catholic
1972,female,not wrong at all,less than high school,Catholic
1972,female,almost always wrong,high school,Catholic
1972,male,always wrong,less than high school,Catholic
1972,male,almost always wrong,less than high school,Catholic
1972,male,not wrong at all,high school,Protestant
1972,male,always wrong,less than high school,Catholic
1972,female,sometimes wrong,high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,female,sometimes wrong,post-secondary,Protestant
1972,female,always wrong,high school,Catholic
1972,female,always wrong,high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,almost always wrong,high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,male,always wrong,high school,Protestant
1972,male,sometimes wrong,high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,sometimes wrong,high school,Protestant
1972,female,sometimes wrong,post-secondary,Protestant
1972,female,not wrong at all,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,not wrong at all,high school,Protestant
1972,male,sometimes wrong,less than high school,Protestant
1972,male,not wrong at all,less than high school,Protestant
1972,male,always wrong,less than high school,Catholic
1972,male,almost always wrong,less than high school,Protestant
1972,male,almost always wrong,less than high school,Catholic
1972,female,always wrong,less than high school,Protestant
1972,female,almost always wrong,less than high school,Protestant
1972,female,always wrong,high school,Protestant
1972,female,sometimes wrong,high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,almost always wrong,less than high school,Protestant
1972,male,always wrong,post-secondary,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,sometimes wrong,less than high school,Protestant
1972,male,not wrong at all,high school,none
1972,female,not wrong at all,high school,Catholic
1972,male,always wrong,less than high school,Catholic
1972,female,sometimes wrong,post-secondary,Catholic
1972,female,always wrong,less than high school,Catholic
1972,female,sometimes wrong,high school,Catholic
1972,male,always wrong,less than high school,Protestant
1972,male,not wrong at all,high school,Catholic
1972,male,always wrong,high school,Protestant
1972,male,almost always wrong,less than high school,Protestant
1972,female,sometimes wrong,less than high school,Protestant
1972,female,always wrong,high school,Catholic
1972,male,always wrong,high school,Protestant
1972,female,not wrong at all,less than high school,Catholic
1972,male,sometimes wrong,high school,Catholic
1972,female,always wrong,less than high school,Protestant
1972,female,always wrong,high school,Protestant
1972,male,sometimes wrong,high school,none
1972,male,always wrong,less than high school,Protestant
1972,female,not wrong at all,post-secondary,none
1972,female,always wrong,high school,Protestant
1972,male,almost always wrong,less than high school,Protestant
1972,male,always wrong,high school,Protestant
1972,male,sometimes wrong,high school,Catholic
1972,female,not wrong at all,less than high school,Protestant
1972,female,always wrong,high school,Protestant
1972,male,not wrong at all,less than high school,none
1972,male,sometimes wrong,high school,Protestant
1972,male,always wrong,high school,Catholic
1972,female,sometimes wrong,less than high school,Protestant
1972,male,sometimes wrong,less than high school,Protestant
1972,male,sometimes wrong,high school,Protestant
1972,female,not wrong at all,high school,Protestant
1972,female,not wrong at all,high school,Protestant
1972,female,not wrong at all,post-secondary,Protestant
1972,female,not wrong at all,high school,Protestant
1972,male,not wrong at all,high school,Protestant
1972,male,not wrong at all,high school,Protestant
1972,male,not wrong at all,high school,Protestant
1972,male,not wrong at all,high school,Protestant
1972,female,sometimes wrong,high school,Catholic
1972,female,always wrong,less than high school,Catholic
1972,male,always wrong,high school,Catholic
1972,male,sometimes wrong,less than high school,Catholic
1972,female,not wrong at all,high school,Catholic
1972,male,not wrong at all,less than high school,Catholic
1972,female,always wrong,less than high school,none
1972,female,always wrong,less than high school,none
1972,female,sometimes wrong,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,male,always wrong,high school,Protestant
1972,male,not wrong at all,high school,Protestant
1972,male,always wrong,high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,female,always wrong,high school,Protestant
1972,male,almost always wrong,high school,Protestant
1972,male,always wrong,high school,Protestant
1972,female,always wrong,high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,male,sometimes wrong,post-secondary,Jewish
1972,male,almost always wrong,post-secondary,Catholic
1972,female,always wrong,high school,Catholic
1972,male,always wrong,high school,Catholic
1972,female,always wrong,high school,Protestant
1972,male,sometimes wrong,less than high school,Protestant
1972,female,sometimes wrong,high school,Protestant
1972,male,sometimes wrong,post-secondary,Protestant
1972,female,not wrong at all,less than high school,Protestant
1972,female,always wrong,high school,Protestant
1972,female,sometimes wrong,high school,Protestant
1972,male,not wrong at all,less than high school,Catholic
1972,female,sometimes wrong,high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,male,sometimes wrong,high school,Catholic
1972,female,sometimes wrong,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,sometimes wrong,post-secondary,Protestant
1972,female,always wrong,post-secondary,Catholic
1972,female,almost always wrong,high school,Protestant
1972,female,always wrong,high school,Protestant
1972,male,almost always wrong,high school,Protestant
1972,male,sometimes wrong,high school,Catholic
1972,male,almost always wrong,high school,Catholic
1972,male,almost always wrong,high school,Protestant
1972,male,almost always wrong,high school,Protestant
1972,female,always wrong,high school,Protestant
1972,female,not wrong at all,high school,none
1972,male,not wrong at all,high school,Catholic
1972,female,always wrong,high school,Catholic
1972,female,sometimes wrong,high school,Protestant
1972,female,almost always wrong,less than high school,Protestant
1972,male,almost always wrong,post-secondary,Protestant
1972,male,not wrong at all,high school,Protestant
1972,male,always wrong,high school,Protestant
1972,female,sometimes wrong,high school,Protestant
1972,female,almost always wrong,post-secondary,Protestant
1972,male,not wrong at all,high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,not wrong at all,less than high school,Protestant
1972,female,sometimes wrong,high school,Protestant
1972,male,not wrong at all,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,not wrong at all,less than high school,Protestant
1972,male,always wrong,high school,Catholic
1972,female,always wrong,high school,Catholic
1972,male,sometimes wrong,high school,Catholic
1972,female,not wrong at all,high school,Protestant
1972,female,always wrong,high school,Catholic
1972,male,not wrong at all,high school,Protestant
1972,male,not wrong at all,post-secondary,Jewish
1972,male,sometimes wrong,high school,Catholic
1972,female,almost always wrong,high school,Catholic
1972,male,not wrong at all,high school,Catholic
1972,female,almost always wrong,high school,Catholic
1972,female,not wrong at all,high school,Catholic
1972,male,always wrong,less than high school,Catholic
1972,female,always wrong,high school,Catholic
1972,female,always wrong,high school,Catholic
1972,male,sometimes wrong,high school,Catholic
1972,male,sometimes wrong,high school,Catholic
1972,female,always wrong,less than high school,Catholic
1972,female,always wrong,high school,Catholic
1972,female,always wrong,high school,Protestant
1972,male,sometimes wrong,less than high school,Catholic
1972,female,always wrong,high school,Protestant
1972,male,always wrong,less than high school,Catholic
1972,male,always wrong,high school,Protestant
1972,male,always wrong,high school,Protestant
1972,female,always wrong,high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,always wrong,high school,Protestant
1972,female,sometimes wrong,less than high school,Protestant
1972,male,sometimes wrong,high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,male,always wrong,high school,Protestant
1972,male,always wrong,high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,not wrong at all,high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,almost always wrong,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,almost always wrong,high school,Protestant
1972,female,always wrong,high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,sometimes wrong,post-secondary,Protestant
1972,male,always wrong,less than high school,Protestant
1972,female,always wrong,high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,female,always wrong,high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,female,always wrong,high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,always wrong,high school,Protestant
1972,male,almost always wrong,high school,Protestant
1972,male,almost always wrong,post-secondary,Catholic
1972,female,always wrong,high school,Catholic
1972,male,always wrong,high school,Catholic
1972,female,sometimes wrong,less than high school,Catholic
1972,female,always wrong,high school,Protestant
1972,female,always wrong,high school,Catholic
1972,male,not wrong at all,high school,Protestant
1972,male,almost always wrong,high school,Protestant
1972,male,sometimes wrong,post-secondary,none
1972,female,always wrong,less than high school,Protestant
1972,male,sometimes wrong,high school,Protestant
1972,female,sometimes wrong,high school,Protestant
1972,female,sometimes wrong,less than high school,Protestant
1972,male,sometimes wrong,high school,Protestant
1972,female,almost always wrong,high school,Protestant
1972,male,not wrong at all,high school,Catholic
1972,male,sometimes wrong,high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,always wrong,high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,sometimes wrong,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,always wrong,high school,Protestant
1972,male,sometimes wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Catholic
1972,male,always wrong,less than high school,Protestant
1972,male,not wrong at all,high school,none
1972,female,always wrong,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,sometimes wrong,high school,Catholic
1972,female,sometimes wrong,less than high school,Catholic
1972,male,always wrong,less than high school,Catholic
1972,male,not wrong at all,post-secondary,Catholic
1972,male,always wrong,high school,Catholic
1972,female,sometimes wrong,post-secondary,Protestant
1972,female,almost always wrong,post-secondary,Catholic
1972,female,always wrong,high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,male,almost always wrong,less than high school,Protestant
1972,male,almost always wrong,high school,Protestant
1972,male,always wrong,post-secondary,Protestant
1972,male,not wrong at all,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,male,sometimes wrong,high school,other
1972,female,always wrong,high school,Protestant
1972,male,not wrong at all,high school,Catholic
1972,male,sometimes wrong,post-secondary,Catholic
1972,female,not wrong at all,high school,none
1972,male,sometimes wrong,high school,Catholic
1972,female,always wrong,high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,male,sometimes wrong,high school,Catholic
1972,male,always wrong,less than high school,Protestant
1972,male,sometimes wrong,high school,Protestant
1972,male,always wrong,less than high school,Catholic
1972,female,always wrong,high school,Protestant
1972,male,not wrong at all,less than high school,Protestant
1972,male,not wrong at all,less than high school,Protestant
1972,female,sometimes wrong,less than high school,Protestant
1972,female,not wrong at all,less than high school,Protestant
1972,male,not wrong at all,high school,Catholic
1972,female,always wrong,less than high school,Protestant
1972,female,not wrong at all,less than high school,Protestant
1972,male,not wrong at all,post-secondary,none
1972,female,always wrong,high school,Protestant
1972,female,always wrong,high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,female,always wrong,high school,Protestant
1972,female,always wrong,post-secondary,Protestant
1972,male,not wrong at all,high school,Protestant
1972,female,sometimes wrong,high school,Protestant
1972,male,not wrong at all,high school,none
1972,female,sometimes wrong,high school,Protestant
1972,male,sometimes wrong,high school,Protestant
1972,male,not wrong at all,less than high school,none
1972,female,sometimes wrong,high school,Protestant
1972,male,not wrong at all,high school,Catholic
1972,male,not wrong at all,less than high school,other
1972,female,sometimes wrong,post-secondary,Protestant
1972,male,not wrong at all,post-secondary,none
1972,female,not wrong at all,high school,Jewish
1972,female,always wrong,less than high school,other
1972,female,sometimes wrong,high school,Jewish
1972,male,not wrong at all,post-secondary,none
1972,male,almost always wrong,post-secondary,none
1972,male,sometimes wrong,post-secondary,Protestant
1972,female,not wrong at all,high school,Jewish
1972,female,not wrong at all,less than high school,Protestant
1972,male,not wrong at all,high school,Protestant
1972,female,not wrong at all,less than high school,Protestant
1972,male,not wrong at all,less than high school,Protestant
1972,female,not wrong at all,high school,Protestant
1972,male,not wrong at all,less than high school,Protestant
1972,male,sometimes wrong,less than high school,Protestant
1972,female,sometimes wrong,high school,Catholic
1972,female,almost always wrong,less than high school,Protestant
1972,female,always wrong,high school,Protestant
1972,male,almost always wrong,less than high school,Protestant
1972,male,sometimes wrong,high school,Protestant
1972,male,not wrong at all,post-secondary,Protestant
1972,male,sometimes wrong,less than high school,Protestant
1972,female,almost always wrong,high school,Protestant
1972,female,sometimes wrong,high school,Protestant
1972,male,almost always wrong,high school,Protestant
1972,female,always wrong,high school,Protestant
1972,male,sometimes wrong,post-secondary,Jewish
1972,female,always wrong,high school,Protestant
1972,female,always wrong,less than high school,Protestant
1972,male,always wrong,high school,Protestant
1972,female,always wrong,high school,Protestant
1972,female,always wrong,high school,Protestant
1972,female,always wrong,high school,Protestant
1972,male,always wrong,less than high school,Protestant
1972,male,not wrong at all,post-secondary,Protestant
1972,male,not wrong at all,post-secondary,Protestant
1972,male,always wrong,less than high school,Protestant
